FID,IZ05CD,IZ05NM
407,S02000757,Ross and Cromarty East
408,S02000758,Seaboard
409,S02000759,Tain
410,S02000760,Ross and Cromarty North West
411,S02000761,Sutherland South
412,S02000762,Sutherland East
413,S02000763,Caithness South
414,S02000764,Sutherland North and West
415,S02000765,Wick South
416,S02000766,Wick North
417,S02000767,Caithness North West
418,S02000768,Caithness North East
419,S02000769,Thurso East
420,S02000770,Thurso West
421,S02000771,Kilmacolm Central
422,S02000772,"Kilmacolm, Quarriers, Greenock Upper East/Central"
423,S02000773,Inverkip and Wemyss Bay
424,S02000774,Port Glasgow Upper East
425,S02000775,"Port Glasgow Mid, East and Central"
426,S02000776,"Port Glasgow Upper, West and Central"
427,S02000777,"West Braeside, East Inverkip and West Gourock"
428,S02000778,Greenock East
429,S02000779,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton"
430,S02000780,Greenock Upper Central
431,S02000781,Greenock Town Centre and East Central
432,S02000782,"Braeside, Branchton, Lower Larkfield and Ravenscraig"
433,S02000783,"Lower Bow & Larkfield, Fancy Farm, Mallard Bowl"
434,S02000784,Greenock West and Central
435,S02000785,"Gourock Central, Upper East and IRH"
436,S02000786,Gourock Upper and West Central & Upper Larkfield
437,S02000787,"Gourock East, Greenock West and Lyle Road"
438,S02000788,Rural South Midlothian
439,S02000789,Penicuik Southeast
440,S02000790,Penicuik Southwest
441,S02000791,Penicuik East
442,S02000792,Penicuik North
443,S02000793,Gorebridge and Middleton
444,S02000794,Pathhead and Rural East Midlothian
445,S02000795,North Gorebridge
446,S02000796,Newbattle and Dalhousie
447,S02000797,Pentland
448,S02000798,Newtongrange
449,S02000799,Mayfield
450,S02000800,Bonnyrigg South
451,S02000701,Milton West
452,S02000702,Anniesland East
453,S02000703,Knightswood West
454,S02000704,Maryhill East
455,S02000705,Anniesland West
456,S02000706,Knightswood Park West
457,S02000707,Yoker North
458,S02000708,Milton East
459,S02000709,Blairdardie East
460,S02000710,Summerston North
461,S02000711,Blairdardie West
462,S02000712,Drumchapel South
463,S02000713,Summerston Central and West
464,S02000714,Drumry West
465,S02000715,Drumchapel North
466,S02000716,Drumry East
467,S02000717,Fort William South
468,S02000718,Lochaber West
469,S02000719,Fort William North
470,S02000720,Lochaber East and North
471,S02000721,Badenoch and Strathspey South
472,S02000722,Loch Ness
473,S02000723,Badenoch and Strathspey Central
474,S02000724,Skye South
475,S02000725,Lochlash
476,S02000726,Badenoch and Strathspey North
477,S02000727,Inverness East Rural
478,S02000728,Inverness West Rural
479,S02000729,Inverness Inshes and Slackbuie
480,S02000730,Inverness Lochardil and Holm Mains
481,S02000731,Inverness Kinmylies and South West
482,S02000732,Inverness Drummond
483,S02000733,Inverness Hilton
484,S02000734,Inverness Drakies
485,S02000735,Inverness Ballifeary and Dalneigh
486,S02000736,Inverness Crown and Haugh
487,S02000737,Inverness Westhill
488,S02000738,Nairn Rural
489,S02000739,Inverness Muirtown
490,S02000740,Inverness Smithton
491,S02000741,Inverness Scorguie
492,S02000742,"Inverness Central, Raigmore and Longman"
493,S02000743,Inverness Culloden and Balloch
494,S02000744,Inverness Merkinch
495,S02000745,Skye North East
496,S02000746,Skye North West
497,S02000747,Conon and Muir of Ord
498,S02000748,Black Isle South
499,S02000749,Nairn West
500,S02000750,Nairn East
501,S02000601,Crookston South
502,S02000602,Pollokshaws
503,S02000603,Mount Florida
504,S02000604,Langside
505,S02000605,Shawlands East
506,S02000606,Crookston North
507,S02000607,Battlefield
508,S02000608,Pollok South and West
509,S02000609,Shawlands West
510,S02000610,Toryglen and Oatlands
511,S02000611,Shettleston South
512,S02000612,Maxwell Park
513,S02000613,Carmyle and Mount Vernon South
514,S02000614,Strathbungo
515,S02000615,Govanhill East and Aikenhead
516,S02000616,Govanhill West
517,S02000617,Pollok North and East
518,S02000618,Baillieston East
519,S02000619,Dalmarnock
520,S02000620,Braidfauld
521,S02000621,Mosspark
522,S02000622,Pollokshields East
523,S02000623,Mount Vernon North and Sandyhills
524,S02000624,Pollokshields West
525,S02000625,Cardonald South and East
526,S02000626,Baillieston West
527,S02000627,Cardonald West and Central
528,S02000628,Gorbals and Hutchesontown
529,S02000629,Parkhead East and Braidfauld North
530,S02000630,Tollcross
531,S02000631,Kingston West and Dumbreck
532,S02000632,Shettleston North
533,S02000633,Parkhead West and Barrowfield
534,S02000634,Laurieston and Tradeston
535,S02000635,"Calton, Galllowgate and Bridgeton"
